range_bin,doppler_bin,out_i,out_q
0,0,-1,0
0,1,1,0
0,2,-1,0
0,3,1,0
0,4,-1,0
0,5,1,0
0,6,-1,0
0,7,1,0
0,8,-1,0
0,9,1,0
0,10,-1,0
0,11,1,0
0,12,-1,0
0,13,1,0
0,14,-1,0
0,15,1,0
0,16,-2,-3
0,17,-1,1
0,18,-1,-2
0,19,1,0
0,20,1,-1
0,21,-1,1
0,22,0,0
0,23,1,2
0,24,0,-3
0,25,-1,1
0,26,-1,0
0,27,1,0
0,28,1,-1
0,29,-1,1
0,30,2,2
0,31,1,2
1,0,-2,-1
1,1,1,1
1,2,0,-1
1,3,1,1
1,4,-2,-1
1,5,1,1
1,6,0,-1
1,7,1,1
1,8,-2,-1
1,9,1,1
1,10,0,-1
1,11,1,1
1,12,-2,-1
1,13,1,1
1,14,0,-1
1,15,1,1
1,16,-2,0
1,17,0,0
1,18,1,-1
1,19,0,0
1,20,0,0
1,21,0,0
1,22,1,1
1,23,0,0
1,24,-2,0
1,25,0,0
1,26,1,-1
1,27,0,0
1,28,0,0
1,29,0,0
1,30,1,1
1,31,0,0
2,0,-1,-1
2,1,0,-3
2,2,-1,0
2,3,-1,0
2,4,0,-1
2,5,-1,0
2,6,-1,-1
2,7,1,-2
2,8,1,1
2,9,0,1
2,10,1,0
2,11,1,2
2,12,0,1
2,13,1,-2
2,14,1,1
2,15,-1,4
2,16,-1,0
2,17,0,-1
2,18,-1,0
2,19,0,-1
2,20,0,0
2,21,-1,-1
2,22,0,0
2,23,-1,-1
2,24,1,0
2,25,0,1
2,26,1,0
2,27,0,1
2,28,0,0
2,29,1,1
2,30,0,0
2,31,1,1
3,0,-1,-3
3,1,-1,1
3,2,-1,-1
3,3,0,-1
3,4,-2,0
3,5,2,1
3,6,-1,-2
3,7,1,1
3,8,-1,-1
3,9,1,1
3,10,-1,-1
3,11,0,1
3,12,0,0
3,13,2,1
3,14,-1,0
3,15,3,3
3,16,-2,-1
3,17,1,1
3,18,-2,-2
3,19,1,1
3,20,-1,-2
3,21,1,1
