cycle,range_bin,doppler_bin,output_hex
2555805000,0,0,ff93ffee
2555815000,0,1,0041ffc3
2555825000,0,2,ffb30082
2555835000,0,3,0071ff8f
2555845000,0,4,ff61006f
2555855000,0,5,001eff16
2555865000,0,6,00a90193
2555875000,0,7,ff6dfe71
2555885000,0,8,000d0030
2555895000,0,9,ffb3007b
2555905000,0,10,01550060
2555915000,0,11,fecfffd3
2555925000,0,12,008fffcb
2555935000,0,13,ffea0040
2555945000,0,14,ff17ff1b
2555955000,0,15,00ff00b1
2557835000,0,16,0041ffee
2557845000,0,17,ffe5fff7
2557855000,0,18,000b00eb
2557865000,0,19,ff8dfe6f
2557875000,0,20,001800bd
2557885000,0,21,ffbffe4c
2557895000,0,22,0185027b
2557905000,0,23,fe5dfead
2557915000,0,24,0183feec
2557925000,0,25,fff900fd
2557935000,0,26,ff4f007b
2557945000,0,27,0009ff29
2557955000,0,28,00c00065
2557965000,0,29,ffb3ffcc
2557975000,0,30,006d008b
2557985000,0,31,ff85ff87
2559865000,1,0,ff990019
2559875000,1,1,00200013
2559885000,1,2,ff8aff4b
2559895000,1,3,00cf014f
2559905000,1,4,fe2dff0c
2559915000,1,5,02afffdc
2559925000,1,6,ff420126
2559935000,1,7,ffe5ffea
2559945000,1,8,ffb7fef1
2559955000,1,9,00780149
2559965000,1,10,fe94febb
2559975000,1,11,01a1003d
2559985000,1,12,ffaf0026
2559995000,1,13,ffb90034
2560005000,1,14,ff14ff80
2560015000,1,15,010b0036
2561895000,1,16,0027fff8
2561905000,1,17,00440025
2561915000,1,18,ff64ffcf
2561925000,1,19,00dcff33
2561935000,1,20,ff1d0180
2561945000,1,21,01dbfeba
2561955000,1,22,ff3e0014
2561965000,1,23,ff070212
2561975000,1,24,0043fe22
2561985000,1,25,00eafff7
2561995000,1,26,ff8c0083
2562005000,1,27,0026ff95
2562015000,1,28,00410042
2562025000,1,29,ffabff82
2562035000,1,30,00da0136
2562045000,1,31,ff53ff46
2563925000,2,0,ffd3002d
2563935000,2,1,002bffd3
2563945000,2,2,ff3cfffd
2563955000,2,3,00f0ffca
2563965000,2,4,ffa4ffee
2563975000,2,5,012b008b
2563985000,2,6,ff340029
2563995000,2,7,ff8f00db
2564005000,2,8,ffcdfe1b
2564015000,2,9,027d00e3
2564025000,2,10,fd380037
2564035000,2,11,0036feba
2564045000,2,12,00e0016e
2564055000,2,13,ff59ff27
2564065000,2,14,00340037
2564075000,2,15,001f0001
2565955000,2,16,fff50023
2565965000,2,17,0031ffc4
2565975000,2,18,ff82004f
2565985000,2,19,005eff29
2565995000,2,20,ffe800f0
2566005000,2,21,0077feb3
2566015000,2,22,00b8ff73
2566025000,2,23,ff01026a
2566035000,2,24,0095fe5b
2566045000,2,25,ffa7ffa6
2566055000,2,26,015e0001
2566065000,2,27,fec200f9
2566075000,2,28,00b6ff36
2566085000,2,29,ffcdffc7
2566095000,2,30,005000e1
2566105000,2,31,fff3ff88
2567985000,3,0,ffda003a
2567995000,3,1,ffe9ff8c
2568005000,3,2,0013fff1
2568015000,3,3,ffae0047
2568025000,3,4,0192ff88
2568035000,3,5,fe5801e3
2568045000,3,6,002bfc7e
2568055000,3,7,00de0234
2568065000,3,8,febe0174
2568075000,3,9,00a5fe86
2568085000,3,10,ffd1001d
2568095000,3,11,002cff91
2568105000,3,12,fffe0102
2568115000,3,13,ffdafe9b
2568125000,3,14,ffc100ec
2568135000,3,15,0090ffb4
2570015000,3,16,00070004
2570025000,3,17,00000019
2570035000,3,18,ffe1ffe2
2570045000,3,19,009f0088
2570055000,3,20,fef4002b
2570065000,3,21,00d9ff55
2570075000,3,22,feee0137
2570085000,3,23,0061ff06
2570095000,3,24,0069ffe2
2570105000,3,25,ff960107
2570115000,3,26,ffc5ffe4
2570125000,3,27,0003ffb2
2570135000,3,28,ff64fff7
2570145000,3,29,0015ff4f
2570155000,3,30,00dc0133
2570165000,3,31,ff31ff64
2572045000,4,0,ffcb0013
2572055000,4,1,0022fff2
2572065000,4,2,ffceffd4
2572075000,4,3,ffb9ff9f
2572085000,4,4,01c20007
2572095000,4,5,fe5d01cc
2572105000,4,6,001ffe5c
2572115000,4,7,00250069
2572125000,4,8,00950195
2572135000,4,9,fdecfdbe
2572145000,4,10,02380140
2572155000,4,11,ffb1fe97
2572165000,4,12,ff8e0135
2572175000,4,13,001dff50
2572185000,4,14,fff30054
2572195000,4,15,0021ffed
2574075000,4,16,0025001a
2574085000,4,17,ffc8ff95
2574095000,4,18,00220078
2574105000,4,19,000dfffd
2574115000,4,20,ff89ffe9
2574125000,4,21,007fff50
2574135000,4,22,001800af
2574145000,4,23,fee5ff92
2574155000,4,24,019dffb8
2574165000,4,25,feccff23
2574175000,4,26,006602c0
2574185000,4,27,ffa1fe25
2574195000,4,28,00610045
2574205000,4,29,ffa1ff7c
2574215000,4,30,00740099
2574225000,4,31,ffe9ffc8
2576105000,5,0,ffffffe5
2576115000,5,1,ff61ffdb
2576125000,5,2,00cfffb4
2576135000,5,3,fff3006d
2576145000,5,4,009e0073
2576155000,5,5,fe2dff9e
2576165000,5,6,00dd00c6
2576175000,5,7,ff91fe3c
2576185000,5,8,00d5014f
2576195000,5,9,ff750007
2576205000,5,10,0049ffd4
2576215000,5,11,0059ff31
2576225000,5,12,ff6e00ed
2576235000,5,13,00a1ff58
2576245000,5,14,ff63ffee
2576255000,5,15,0047007e
2578135000,5,16,001affcf
2578145000,5,17,005d002b
2578155000,5,18,ff8cffed
2578165000,5,19,0053ff76
2578175000,5,20,fecc00ba
2578185000,5,21,01ab0151
2578195000,5,22,fe3ffc36
2578205000,5,23,00fd024d
2578215000,5,24,001affef
2578225000,5,25,0063fe5f
2578235000,5,26,ffee0205
2578245000,5,27,fef9ff20
2578255000,5,28,00ac0048
2578265000,5,29,001dff0d
2578275000,5,30,006b00d8
2578285000,5,31,ff8fffc5
2580165000,6,0,0006fffc
2580175000,6,1,fffa002b
2580185000,6,2,000aff58
2580195000,6,3,ff5b0012
2580205000,6,4,014b00e0
2580215000,6,5,ff78fed5
2580225000,6,6,004900b3
2580235000,6,7,ff9cff69
2580245000,6,8,ffc40152
2580255000,6,9,ffb2004b
2580265000,6,10,ffc2fda8
2580275000,6,11,00cb027a
2580285000,6,12,ff13fe4e
2580295000,6,13,01540085
2580305000,6,14,ff7b0031
2580315000,6,15,000effdb
2582195000,6,16,ffeaffff
2582205000,6,17,fffbffe9
2582215000,6,18,002fff92
2582225000,6,19,00080121
2582235000,6,20,fee20011
2582245000,6,21,0062ff8b
2582255000,6,22,0066ff3f
2582265000,6,23,fe6400d0
2582275000,6,24,0212fffd
2582285000,6,25,fdfdff81
2582295000,6,26,00f1ff50
2582305000,6,27,ffe20165
2582315000,6,28,0056ff97
2582325000,6,29,ff32fff3
2582335000,6,30,0076ffc3
2582345000,6,31,0016003a
2584225000,7,0,ffb1fff5
2584235000,7,1,0040fff3
2584245000,7,2,ffeeffa1
2584255000,7,3,ffde007a
2584265000,7,4,fff90030
2584275000,7,5,00bbfee5
2584285000,7,6,fe7c02e9
2584295000,7,7,0175fc6e
2584305000,7,8,003d02b3
2584315000,7,9,feb4ff1f
2584325000,7,10,ffcaff8f
2584335000,7,11,014efff6
2584345000,7,12,ffed008c
2584355000,7,13,fed9ffbd
2584365000,7,14,00f0ff5b
2584375000,7,15,ffdf0096
2586255000,7,16,fff20018
2586265000,7,17,ffb2fffa
2586275000,7,18,0055ff8d
2586285000,7,19,003b00a1
2586295000,7,20,feb4ffc1
2586305000,7,21,018d0006
2586315000,7,22,ff5bfe19
2586325000,7,23,ffde028b
2586335000,7,24,fffcfdec
2586345000,7,25,01440110
2586355000,7,26,fead008b
2586365000,7,27,00b5fe95
2586375000,7,28,00560187
2586385000,7,29,fef9fea8
2586395000,7,30,00b3009b
2586405000,7,31,003eff9f
2588285000,8,0,ffd0ffd2
2588295000,8,1,00070025
2588305000,8,2,ffd90004
2588315000,8,3,0044ff57
2588325000,8,4,0022fff0
2588335000,8,5,ffe70050
2588345000,8,6,ffd2017f
2588355000,8,7,0092fe15
2588365000,8,8,ff280108
2588375000,8,9,0037ff89
2588385000,8,10,ffe900b2
2588395000,8,11,0054feff
2588405000,8,12,ffae00ba
2588415000,8,13,0047fff2
2588425000,8,14,fff4ff4f
2588435000,8,15,001a009d
2590315000,8,16,000cffed
2590325000,8,17,ffc00021
2590335000,8,18,0033ffc9
2590345000,8,19,ffd8fff7
2590355000,8,20,010effe0
2590365000,8,21,fe520052
2590375000,8,22,018dfed9
2590385000,8,23,ff0d00ce
2590395000,8,24,01f8001b
2590405000,8,25,ff1affe3
2590415000,8,26,fe6300a3
2590425000,8,27,01fcff3d
2590435000,8,28,ff32001c
2590445000,8,29,00440006
2590455000,8,30,0011005f
2590465000,8,31,0007ffda
2592345000,9,0,ffadffdf
2592355000,9,1,000a0018
2592365000,9,2,000fff67
2592375000,9,3,004300cd
2592385000,9,4,ffb20047
2592395000,9,5,fff3ffba
2592405000,9,6,fef60060
2592415000,9,7,00a3fee6
2592425000,9,8,012bffdb
2592435000,9,9,ff560196
2592445000,9,10,ffe5fec1
2592455000,9,11,00a10053
2592465000,9,12,ff82ff67
2592475000,9,13,0011011c
2592485000,9,14,ffaaff00
2592495000,9,15,00750086
2594375000,9,16,0005ffe5
2594385000,9,17,00580061
2594395000,9,18,fff1ff37
2594405000,9,19,0090007b
2594415000,9,20,fe2c010e
2594425000,9,21,01fafead
2594435000,9,22,febfffe7
2594445000,9,23,ffc40025
2594455000,9,24,0155ffd9
2594465000,9,25,00b80089
2594475000,9,26,fe21fffd
2594485000,9,27,00840023
2594495000,9,28,0056ffd0
2594505000,9,29,ff820009
2594515000,9,30,00ab0071
2594525000,9,31,ffa4ff95
2596405000,10,0,001effd9
2596415000,10,1,ffa40003
2596425000,10,2,00beffe8
2596435000,10,3,ff0d005a
2596445000,10,4,015c006a
2596455000,10,5,fe8bff30
2596465000,10,6,fff9ff7c
2596475000,10,7,000e00bb
2596485000,10,8,012eff0f
2596495000,10,9,ff040175
2596505000,10,10,fff00032
2596515000,10,11,ffddfe10
2596525000,10,12,01640142
2596535000,10,13,fef10010
2596545000,10,14,0025ffc6
2596555000,10,15,000c0033
2598435000,10,16,ffe8001c
2598445000,10,17,0069ffda
2598455000,10,18,ff3b005c
2598465000,10,19,0023ff91
